# Program:featureCounts v2.0.6; Command:"featureCounts" "-p" "-B" "-C" "-O" "-t" "gene" "-g" "ID" "-a" "genome/s_aureus_USA300.gff3" "-o" "counts/counts.txt" "mapped_reads/fm_1.bam" "mapped_reads/fm_2.bam" "mapped_reads/fm_3.bam" "mapped_reads/fm_4.bam" "mapped_reads/m_1.bam" "mapped_reads/m_2.bam" "mapped_reads/m_3.bam" 
Geneid	Chr	Start	End	Strand	Length	mapped_reads/fm_1.bam	mapped_reads/fm_2.bam	mapped_reads/fm_3.bam	mapped_reads/fm_4.bam	mapped_reads/m_1.bam	mapped_reads/m_2.bam	mapped_reads/m_3.bam
gene-SAOUHSC_02374	NC_007795.1	2197127	2198311	-	1185	38	10	10	14	20	14	57
gene-SAOUHSC_02375	NC_007795.1	2198622	2199092	+	471	45	26	12	30	28	8	32
gene-SAOUHSC_02376	NC_007795.1	2199244	2199594	-	351	177	56	488	232	183	290	164
gene-SAOUHSC_02377	NC_007795.1	2199608	2200909	-	1302	444	77	677	896	494	442	1312
gene-SAOUHSC_02378	NC_007795.1	2200893	2201021	+	129	8	2	2	31	2	8	34
gene-SAOUHSC_02379	NC_007795.1	2201188	2201850	-	663	207	16	116	987	388	49	305
gene-SAOUHSC_02380	NC_007795.1	2202165	2202875	+	711	72	4	71	74	68	40	347
gene-SAOUHSC_02381	NC_007795.1	2202996	2203439	-	444	654	22	165	36	140	16	664
gene-SAOUHSC_02382	NC_007795.1	2203639	2204052	-	414	0	0	27	0	0	0	32
gene-SAOUHSC_02383	NC_007795.1	2204510	2205883	-	1374	35	0	12	29	25	16	114
gene-SAOUHSC_02384	NC_007795.1	2206555	2206785	-	231	10	0	14	2	10	3	10
gene-SAOUHSC_02385	NC_007795.1	2206816	2207673	-	858	228	26	58	48	40	74	51
gene-SAOUHSC_02386	NC_007795.1	2207609	2207833	-	225	55	3	15	16	8	24	14
gene-SAOUHSC_02387	NC_007795.1	2208190	2208855	-	666	20	0	32	0	4	2	10
gene-SAOUHSC_02388	NC_007795.1	2209007	2209327	+	321	48	24	18	53	24	13	154
gene-SAOUHSC_02389	NC_007795.1	2209329	2210309	+	981	124	78	36	108	66	42	327
gene-SAOUHSC_02390	NC_007795.1	2210575	2211666	+	1092	8	6	28	16	14	6	10
gene-SAOUHSC_02391	NC_007795.1	2212109	2212213	-	105	1554	466	1445	8	417	412	5437
gene-SAOUHSC_02393	NC_007795.1	2212900	2214036	-	1137	0	0	0	0	0	0	0
gene-SAOUHSC_02394	NC_007795.1	2214325	2214417	+	93	1	0	0	0	0	0	0
gene-SAOUHSC_02396	NC_007795.1	2215122	2215979	-	858	184	37	90	76	81	68	84
gene-SAOUHSC_02397	NC_007795.1	2216047	2216829	-	783	80	26	0	48	66	30	8
gene-SAOUHSC_02399	NC_007795.1	2217061	2218866	-	1806	17354	1364	7874	4236	5069	4932	9037
gene-SAOUHSC_02400	NC_007795.1	2219547	2221085	+	1539	42	7	44	42	14	22	84
gene-SAOUHSC_02401	NC_007795.1	2221120	2223252	+	2133	112	26	22	68	40	33	104
gene-SAOUHSC_02402	NC_007795.1	2223264	2223698	+	435	29	5	18	4	57	14	40
gene-SAOUHSC_02403	NC_007795.1	2223698	2224804	+	1107	207	36	146	30	90	70	78
gene-SAOUHSC_02404	NC_007795.1	2225123	2232559	-	7437	142	54	134	84	172	94	1455
gene-SAOUHSC_02405	NC_007795.1	2232836	2234191	-	1356	750	64	840	420	240	208	554
gene-SAOUHSC_02406	NC_007795.1	2234218	2235150	-	933	174	23	49	73	75	63	102
gene-SAOUHSC_02407	NC_007795.1	2235152	2235961	-	810	331	10	74	158	150	88	240
gene-SAOUHSC_02409	NC_007795.1	2236150	2237058	-	909	48	8	12	44	72	38	53
gene-SAOUHSC_02411	NC_007795.1	2238622	2238726	+	105	5	0	0	9	4	6	65
gene-SAOUHSC_T00037	NC_007795.1	2238714	2238789	-	76	24	2	4	35	19	16	67
gene-SAOUHSC_02412	NC_007795.1	2238752	2238868	-	117	88	2	17	97	43	26	155
gene-SAOUHSC_T00017	NC_007795.1	2238793	2238867	-	75	84	0	13	95	39	22	155
gene-SAOUHSC_T00058	NC_007795.1	2238877	2238960	-	84	95	4	12	102	40	18	145
gene-SAOUHSC_T00061	NC_007795.1	2238990	2239065	-	76	40	9	24	34	14	8	66
gene-SAOUHSC_T00020	NC_007795.1	2239073	2239144	-	72	34	2	1	21	4	6	60
gene-SAOUHSC_T00010	NC_007795.1	2239146	2239220	-	75	8	0	0	7	2	0	36
gene-SAOUHSC_R00015	NC_007795.1	2239231	2239345	-	115	2	0	9	0	0	2	7
gene-SAOUHSC_R00010	NC_007795.1	2239418	2242340	-	2923	6306	1031	2346	5401	6671	2606	5764
gene-SAOUHSC_T00029	NC_007795.1	2242631	2242707	-	77	79	8	10	32	22	56	106
gene-SAOUHSC_R0005	NC_007795.1	2242800	2244356	-	1557	16000	10522	17421	11748	20510	15217	28408
gene-SAOUHSC_02416	NC_007795.1	2244539	2244724	-	186	0	0	0	0	0	0	0
gene-SAOUHSC_02418	NC_007795.1	2246027	2247469	-	1443	17	12	62	16	72	85	150
gene-SAOUHSC_02419	NC_007795.1	2247791	2248264	-	474	4	14	13	0	2	1	0
gene-SAOUHSC_02420	NC_007795.1	2248363	2249706	-	1344	34	30	0	26	64	36	40
gene-SAOUHSC_02422	NC_007795.1	2249883	2250566	-	684	66	31	29	61	53	40	42
gene-SAOUHSC_02423	NC_007795.1	2250585	2251772	-	1188	36	36	42	46	165	26	92
gene-SAOUHSC_02424	NC_007795.1	2251816	2252331	-	516	84	46	68	32	34	26	202
gene-SAOUHSC_02425	NC_007795.1	2252508	2252768	+	261	320	34	176	48	126	38	136
gene-SAOUHSC_02426	NC_007795.1	2252900	2254093	-	1194	68	4	80	56	98	42	313
gene-SAOUHSC_02427	NC_007795.1	2254506	2255474	-	969	12	5	6	6	42	6	158
gene-SAOUHSC_02428	NC_007795.1	2255471	2256502	-	1032	23	24	6	66	18	6	122
gene-SAOUHSC_02430	NC_007795.1	2256514	2257497	-	984	4	4	0	8	7	7	65
gene-SAOUHSC_02432	NC_007795.1	2257663	2257788	+	126	0	0	0	0	0	0	0
gene-SAOUHSC_02433	NC_007795.1	2257889	2258959	-	1071	0	1	10	2	8	0	28
gene-SAOUHSC_02434	NC_007795.1	2258966	2260723	-	1758	135	14	85	297	148	128	248
gene-SAOUHSC_02435	NC_007795.1	2260710	2261903	-	1194	24	22	18	505	77	24	70
gene-SAOUHSC_02436	NC_007795.1	2262005	2263981	+	1977	74	42	58	783	94	32	200
gene-SAOUHSC_02441	NC_007795.1	2266097	2266606	-	510	342	302	688	505	438	725	439
gene-SAOUHSC_02442	NC_007795.1	2266669	2266908	-	240	247	101	641	429	239	865	676
gene-SAOUHSC_02443	NC_007795.1	2266921	2267457	-	537	2275	643	5006	3465	1750	1996	2916
gene-SAOUHSC_02444	NC_007795.1	2267632	2269194	-	1563	252	132	467	563	534	833	230
gene-SAOUHSC_02445	NC_007795.1	2269501	2270502	-	1002	754	124	160	278	577	141	301
gene-SAOUHSC_02447	NC_007795.1	2270736	2271737	-	1002	3347	723	2202	3197	3099	1693	4288
gene-SAOUHSC_02448	NC_007795.1	2272020	2272904	-	885	37	30	177	43	21	50	303
gene-SAOUHSC_02449	NC_007795.1	2273155	2274567	-	1413	454	26	54	60	94	54	56
gene-SAOUHSC_02450	NC_007795.1	2274585	2276297	-	1713	77	2	66	8	32	40	112
gene-SAOUHSC_02451	NC_007795.1	2276303	2276614	-	312	0	4	1	20	16	8	0
gene-SAOUHSC_02452	NC_007795.1	2276636	2277616	-	981	95	4	6	26	16	0	18
gene-SAOUHSC_02453	NC_007795.1	2277620	2278552	-	933	49	2	10	20	26	6	29
gene-SAOUHSC_02454	NC_007795.1	2278565	2279080	-	516	66	0	0	8	4	0	6
gene-SAOUHSC_02455	NC_007795.1	2279096	2279524	-	429	16	0	0	0	2	4	20
gene-SAOUHSC_02456	NC_007795.1	2279892	2280683	-	792	0	4	0	1	8	0	2
gene-SAOUHSC_02457	NC_007795.1	2280889	2281629	+	741	154	98	10	278	292	48	960
gene-SAOUHSC_A02331	NC_007795.1	2281666	2281827	+	162	0	2	2	6	0	9	0
gene-SAOUHSC_02458	NC_007795.1	2281920	2282528	-	609	0	0	10	0	0	16	0
gene-SAOUHSC_02459	NC_007795.1	2282790	2282915	-	126	0	0	0	0	0	0	0
gene-SAOUHSC_02460	NC_007795.1	2283135	2283983	-	849	270	22	42	6	76	36	77
gene-SAOUHSC_02461	NC_007795.1	2284053	2284469	-	417	5	0	4	4	2	3	11
gene-SAOUHSC_02462	NC_007795.1	2284713	2284880	+	168	0	0	8	0	2	0	0
gene-SAOUHSC_02463	NC_007795.1	2284877	2287300	+	2424	38	0	111	10	16	4	72
gene-SAOUHSC_02464	NC_007795.1	2287360	2288214	-	855	2	26	29	8	0	0	4
gene-SAOUHSC_02465	NC_007795.1	2288425	2289240	-	816	0	0	3	4	2	0	0
gene-SAOUHSC_02467	NC_007795.1	2290323	2291027	-	705	33	0	12	40	46	20	4
gene-SAOUHSC_02468	NC_007795.1	2291064	2292728	-	1665	130	76	36	347	395	12	24
gene-SAOUHSC_02469	NC_007795.1	2292961	2293200	+	240	22	7	9	8	7	2	6
gene-SAOUHSC_02470	NC_007795.1	2293182	2293364	-	183	1	1	18	4	4	4	0
gene-SAOUHSC_02471	NC_007795.1	2293918	2295324	-	1407	0	0	0	2	0	0	0
gene-SAOUHSC_02472	NC_007795.1	2295453	2296589	-	1137	0	0	0	0	0	0	0
gene-SAOUHSC_02473	NC_007795.1	2296590	2296682	-	93	0	0	0	0	0	0	0
gene-SAOUHSC_02474	NC_007795.1	2296639	2297334	-	696	2	0	0	0	0	0	0
gene-SAOUHSC_02475	NC_007795.1	2297395	2297688	-	294	0	0	0	0	0	0	0
gene-SAOUHSC_02476	NC_007795.1	2297685	2298782	-	1098	2	0	0	0	0	0	0
gene-SAOUHSC_02477	NC_007795.1	2299327	2299725	-	399	143	10	10	65	38	24	1623
gene-SAOUHSC_02478	NC_007795.1	2299739	2300176	-	438	256	44	70	155	115	96	2082
gene-SAOUHSC_02480	NC_007795.1	2300416	2301219	-	804	833	143	309	244	496	577	2638
gene-SAOUHSC_02481	NC_007795.1	2301224	2302030	-	807	161	75	115	31	117	170	631
gene-SAOUHSC_02482	NC_007795.1	2302020	2302880	-	861	507	72	85	122	353	227	1876
gene-SAOUHSC_02483	NC_007795.1	2302877	2303686	-	810	336	77	98	66	145	181	619
gene-SAOUHSC_02484	NC_007795.1	2304224	2304592	-	369	543	201	701	638	494	307	3477
gene-SAOUHSC_02485	NC_007795.1	2304609	2305553	-	945	2996	391	771	2466	1880	1201	5854
gene-SAOUHSC_02486	NC_007795.1	2305628	2306017	-	390	993	133	379	913	720	422	2461
gene-SAOUHSC_02487	NC_007795.1	2306041	2306406	-	366	655	88	252	439	430	254	2008
gene-SAOUHSC_02488	NC_007795.1	2306429	2306542	-	114	1	0	8	3	1	0	8
gene-SAOUHSC_02489	NC_007795.1	2306574	2306792	-	219	115	25	62	67	72	48	197
gene-SAOUHSC_02490	NC_007795.1	2306985	2307632	-	648	1471	276	932	1332	894	615	3459
gene-SAOUHSC_02491	NC_007795.1	2307649	2308941	-	1293	7011	1994	7463	9409	6126	4741	23773
gene-SAOUHSC_02492	NC_007795.1	2308941	2309381	-	441	1077	152	440	998	860	580	1681
gene-SAOUHSC_02493	NC_007795.1	2309398	2309577	-	180	269	75	51	205	306	230	1164
gene-SAOUHSC_02494	NC_007795.1	2309594	2310094	-	501	981	91	304	917	738	523	2477
gene-SAOUHSC_02495	NC_007795.1	2310115	2310474	-	360	226	4	128	198	133	128	706
gene-SAOUHSC_02496	NC_007795.1	2310505	2311041	-	537	337	98	243	218	300	211	1141
gene-SAOUHSC_02498	NC_007795.1	2311066	2311464	-	399	176	41	27	138	114	99	730
gene-SAOUHSC_02499	NC_007795.1	2311496	2311681	-	186	218	18	16	151	120	122	386
gene-SAOUHSC_02500	NC_007795.1	2311704	2312243	-	540	369	43	116	259	310	294	949
gene-SAOUHSC_02501	NC_007795.1	2312270	2312587	-	318	129	33	27	58	98	55	353
gene-SAOUHSC_02502	NC_007795.1	2312623	2312991	-	369	1130	133	419	915	672	481	1737
gene-SAOUHSC_02503	NC_007795.1	2313023	2313286	-	264	38	21	27	33	55	59	143
gene-SAOUHSC_02504	NC_007795.1	2313310	2313519	-	210	35	9	44	42	66	37	94
gene-SAOUHSC_02505	NC_007795.1	2313509	2313943	-	435	356	48	53	296	226	153	766
gene-SAOUHSC_02506	NC_007795.1	2313946	2314599	-	654	668	132	255	542	417	273	1811
gene-SAOUHSC_02507	NC_007795.1	2314623	2314976	-	354	483	96	252	311	268	206	1798
gene-SAOUHSC_02508	NC_007795.1	2315005	2315283	-	279	27	0	0	3	10	18	54
gene-SAOUHSC_02509	NC_007795.1	2315350	2316183	-	834	2168	222	450	1478	1069	788	3211
gene-SAOUHSC_02510	NC_007795.1	2316216	2316491	-	276	195	3	48	118	94	69	357
gene-SAOUHSC_02511	NC_007795.1	2316491	2317114	-	624	1414	175	253	1108	1235	887	2239
gene-SAOUHSC_02512	NC_007795.1	2317141	2317803	-	663	878	89	188	710	516	306	1658
gene-SAOUHSC_02512a	NC_007795.1	2317831	2318139	-	309	186	4	60	225	144	146	777
gene-SAOUHSC_02515	NC_007795.1	2318496	2318885	+	390	216	818	1158	637	1297	1226	6
gene-SAOUHSC_02516	NC_007795.1	2319077	2320255	-	1179	128	95	122	62	136	51	350
gene-SAOUHSC_02517	NC_007795.1	2320524	2322659	-	2136	223	94	279	115	221	216	816
gene-SAOUHSC_02518	NC_007795.1	2322685	2322780	-	96	0	0	0	0	1	0	0
gene-SAOUHSC_02519	NC_007795.1	2322846	2323733	+	888	18	10	42	2	30	8	20
gene-SAOUHSC_02520	NC_007795.1	2323914	2324777	+	864	24	8	100	28	14	16	230
gene-SAOUHSC_02521	NC_007795.1	2324894	2325025	-	132	6	0	12	0	8	3	17
gene-SAOUHSC_02522	NC_007795.1	2325196	2326086	-	891	8	2	50	0	6	1	79
gene-SAOUHSC_02523	NC_007795.1	2326237	2326401	+	165	1	10	13	7	4	1	9
gene-SAOUHSC_02524	NC_007795.1	2326646	2326963	+	318	0	4	14	0	0	2	0
gene-SAOUHSC_02525	NC_007795.1	2327150	2330317	-	3168	744	144	464	182	576	256	1507
gene-SAOUHSC_02527	NC_007795.1	2330434	2331699	-	1266	50	0	74	22	16	26	44
gene-SAOUHSC_02528	NC_007795.1	2332088	2332339	+	252	0	2	24	0	0	10	8
gene-SAOUHSC_02529	NC_007795.1	2332331	2333095	-	765	2	8	38	6	8	11	11
gene-SAOUHSC_02530	NC_007795.1	2333257	2333697	+	441	1	0	8	4	2	2	8
gene-SAOUHSC_02531	NC_007795.1	2333690	2334901	+	1212	16	0	8	14	4	12	58
gene-SAOUHSC_02532	NC_007795.1	2335005	2335355	-	351	0	0	0	0	0	0	0
gene-SAOUHSC_02533	NC_007795.1	2335481	2335651	+	171	6	7	4	0	6	3	2
gene-SAOUHSC_02534	NC_007795.1	2335708	2335851	-	144	101	1	0	2	5	6	61
gene-SAOUHSC_02535	NC_007795.1	2335823	2335942	-	120	110	3	0	10	13	4	63
gene-SAOUHSC_02536	NC_007795.1	2336046	2337068	-	1023	384	186	743	116	210	364	598
gene-SAOUHSC_02537	NC_007795.1	2337088	2337687	-	600	413	101	254	118	250	395	177
gene-SAOUHSC_02538	NC_007795.1	2337694	2337927	-	234	34	12	10	10	28	32	28
gene-SAOUHSC_02540	NC_007795.1	2337933	2338379	-	447	62	44	16	44	128	68	76
gene-SAOUHSC_02541	NC_007795.1	2338393	2338878	-	486	53	13	6	51	63	73	230
gene-SAOUHSC_02542	NC_007795.1	2338875	2340134	-	1260	579	214	200	632	730	376	280
gene-SAOUHSC_02543	NC_007795.1	2340197	2340691	+	495	751	343	488	1195	881	413	906
gene-SAOUHSC_02544	NC_007795.1	2340693	2341199	-	507	66	70	14	268	325	53	120
gene-SAOUHSC_02545	NC_007795.1	2341230	2342234	-	1005	96	49	39	36	131	56	72
gene-SAOUHSC_02546	NC_007795.1	2342404	2343009	-	606	14	36	18	32	56	10	8
gene-SAOUHSC_02547	NC_007795.1	2343010	2343681	-	672	71	58	105	66	133	124	87
gene-SAOUHSC_02549	NC_007795.1	2343695	2344477	-	783	3	3	2	9	15	19	9
gene-SAOUHSC_02550	NC_007795.1	2344767	2345564	+	798	114	16	66	16	40	56	66
gene-SAOUHSC_02551	NC_007795.1	2345736	2346506	-	771	2	8	0	0	2	8	20
gene-SAOUHSC_02552	NC_007795.1	2346578	2347132	-	555	12	0	0	6	6	21	9
gene-SAOUHSC_02553	NC_007795.1	2347253	2348194	-	942	10	8	0	12	22	32	15
gene-SAOUHSC_02554	NC_007795.1	2348593	2349501	-	909	2	8	0	0	3	4	8
gene-SAOUHSC_02557	NC_007795.1	2351097	2351987	-	891	2	0	0	0	0	0	2
gene-SAOUHSC_02558	NC_007795.1	2352262	2352564	+	303	0	2	0	0	2	8	3
gene-SAOUHSC_02559	NC_007795.1	2352578	2352988	+	411	13	0	0	2	0	0	0
gene-SAOUHSC_02561	NC_007795.1	2352985	2354700	+	1716	201	18	26	59	70	12	68
gene-SAOUHSC_02562	NC_007795.1	2354713	2355165	+	453	24	0	0	2	5	1	12
gene-SAOUHSC_02563	NC_007795.1	2355158	2355847	+	690	14	0	0	5	12	14	11
gene-SAOUHSC_02564	NC_007795.1	2355860	2356474	+	615	20	0	6	16	11	6	41
gene-SAOUHSC_02565	NC_007795.1	2356474	2357310	+	837	22	4	0	11	9	29	27
gene-SAOUHSC_02566	NC_007795.1	2357499	2357846	-	348	0	0	14	8	0	0	8
gene-SAOUHSC_02568	NC_007795.1	2358274	2358600	-	327	0	0	0	0	0	0	0
gene-SAOUHSC_02569	NC_007795.1	2358664	2359407	-	744	0	12	0	0	0	2	1
gene-SAOUHSC_02570	NC_007795.1	2359433	2361388	-	1956	8	30	4	0	14	12	1
gene-SAOUHSC_02571	NC_007795.1	2361998	2362801	+	804	388	91	50	355	314	143	170
gene-SAOUHSC_02572	NC_007795.1	2362818	2363060	-	243	24	4	6	8	32	0	2
gene-SAOUHSC_02573	NC_007795.1	2363234	2364634	-	1401	10	2	42	24	4	16	64
gene-SAOUHSC_02574	NC_007795.1	2364729	2365811	-	1083	26	0	14	14	2	6	12
gene-SAOUHSC_02575	NC_007795.1	2366059	2366481	+	423	0	0	0	0	0	0	0
gene-SAOUHSC_02576	NC_007795.1	2366718	2367218	+	501	105	16	0	120	92	36	126
gene-SAOUHSC_02577	NC_007795.1	2367580	2368533	+	954	975	94	1097	502	468	290	1152
gene-SAOUHSC_02579	NC_007795.1	2368625	2369749	-	1125	76	4	26	28	34	18	42
gene-SAOUHSC_02580	NC_007795.1	2370060	2370698	-	639	2	0	6	4	8	2	12
gene-SAOUHSC_A02450	NC_007795.1	2370858	2371091	-	234	0	0	0	0	4	8	0
gene-SAOUHSC_02581	NC_007795.1	2371319	2371792	-	474	481	51	438	94	134	146	261
gene-SAOUHSC_02582	NC_007795.1	2371792	2374746	-	2955	11523	1672	3127	2791	3549	2632	1736
gene-SAOUHSC_02583	NC_007795.1	2375348	2376271	-	924	1180	114	260	392	348	550	1439
gene-SAOUHSC_02584	NC_007795.1	2376428	2377225	-	798	72	4	38	16	32	22	26
gene-SAOUHSC_02585	NC_007795.1	2377610	2378302	+	693	73	52	112	22	42	50	61
gene-SAOUHSC_02587	NC_007795.1	2378949	2379686	-	738	2	14	20	6	18	10	17
gene-SAOUHSC_02588	NC_007795.1	2379735	2380064	+	330	1	0	10	0	0	0	2
gene-SAOUHSC_02589	NC_007795.1	2380509	2381381	+	873	116	24	68	16	36	30	125
gene-SAOUHSC_02590	NC_007795.1	2381768	2383147	-	1380	403	139	176	191	230	184	162
gene-SAOUHSC_02591	NC_007795.1	2383427	2383783	+	357	5	2	5	4	6	4	5
gene-SAOUHSC_02592	NC_007795.1	2383780	2383965	+	186	2	0	9	2	8	3	3
gene-SAOUHSC_02593	NC_007795.1	2384061	2384252	-	192	4	0	1	6	18	5	5
gene-SAOUHSC_02594	NC_007795.1	2384263	2384898	-	636	154	32	118	94	143	98	159
gene-SAOUHSC_02595	NC_007795.1	2384973	2385890	-	918	4	0	16	0	4	4	18
gene-SAOUHSC_02596	NC_007795.1	2386157	2386687	+	531	4	4	28	0	0	12	4
gene-SAOUHSC_02597	NC_007795.1	2386753	2388357	-	1605	38	10	76	46	32	36	165
gene-SAOUHSC_02599	NC_007795.1	2388687	2389451	+	765	18	0	18	0	10	0	18
gene-SAOUHSC_02600	NC_007795.1	2389509	2390015	-	507	8	4	0	0	1	0	19
gene-SAOUHSC_02603	NC_007795.1	2391720	2392289	-	570	0	6	32	2	0	4	30
gene-SAOUHSC_02604	NC_007795.1	2392776	2393657	-	882	1168	56	210	1112	834	510	552
gene-SAOUHSC_02605	NC_007795.1	2393768	2394889	-	1122	44	10	20	140	62	8	172
gene-SAOUHSC_02606	NC_007795.1	2395166	2396404	-	1239	608	22	271	27263	148	81	453
gene-SAOUHSC_02607	NC_007795.1	2396404	2398065	-	1662	205	6	195	24206	134	53	118
gene-SAOUHSC_02608	NC_007795.1	2398225	2399109	+	885	22	0	20	0	0	2	5
gene-SAOUHSC_02609	NC_007795.1	2399531	2399950	+	420	2	2	0	0	0	4	5
gene-SAOUHSC_02610	NC_007795.1	2400206	2401141	-	936	2075	336	216	1442	1118	566	1985
gene-SAOUHSC_02611	NC_007795.1	2401431	2402690	+	1260	18	8	24	34	18	8	71
gene-SAOUHSC_02612	NC_007795.1	2402756	2403442	-	687	0	0	0	0	4	12	23
gene-SAOUHSC_02613	NC_007795.1	2403616	2404269	+	654	48	0	30	10	16	8	64
gene-SAOUHSC_02614	NC_007795.1	2404505	2405524	-	1020	24	0	18	8	0	4	36
gene-SAOUHSC_02615	NC_007795.1	2405554	2405880	-	327	3	0	0	0	0	0	7
gene-SAOUHSC_02616	NC_007795.1	2405929	2406114	-	186	0	0	0	4	0	0	0
gene-SAOUHSC_02618	NC_007795.1	2406098	2407330	-	1233	46	50	107	30	10	7	106
gene-SAOUHSC_02619	NC_007795.1	2407323	2408222	-	900	6	7	10	0	0	1	15
gene-SAOUHSC_02620	NC_007795.1	2408453	2409100	-	648	40	18	100	18	22	4	119
gene-SAOUHSC_02621	NC_007795.1	2409499	2410107	+	609	56	0	8	8	6	12	15
gene-SAOUHSC_02622	NC_007795.1	2410444	2411652	+	1209	0	0	4	0	2	2	24
gene-SAOUHSC_02623	NC_007795.1	2411700	2412749	-	1050	152	21	14	52	82	33	163
gene-SAOUHSC_02624	NC_007795.1	2412780	2413727	-	948	77	36	18	10	55	17	21
gene-SAOUHSC_02625	NC_007795.1	2413824	2414315	+	492	46	18	5	38	50	16	379
gene-SAOUHSC_02626	NC_007795.1	2414312	2414731	+	420	79	6	40	92	115	73	859
gene-SAOUHSC_02627	NC_007795.1	2414839	2415741	-	903	416	54	124	245	311	57	938
gene-SAOUHSC_02628	NC_007795.1	2415967	2416605	+	639	59	51	50	58	48	19	230
gene-SAOUHSC_02629	NC_007795.1	2416851	2418782	-	1932	10	0	246	2	46	6	453
gene-SAOUHSC_02630	NC_007795.1	2418795	2419442	-	648	4	0	139	8	7	0	70
gene-SAOUHSC_02631	NC_007795.1	2419563	2420114	+	552	0	0	6	0	4	6	0
gene-SAOUHSC_02634	NC_007795.1	2421661	2421789	-	129	2	0	0	0	0	0	0
gene-SAOUHSC_02635	NC_007795.1	2421820	2423202	-	1383	22	16	16	8	4	6	30
gene-SAOUHSC_02638	NC_007795.1	2424092	2425060	+	969	237	10	11	43	114	26	56
gene-SAOUHSC_02640	NC_007795.1	2426131	2426796	-	666	2128	161	16	525	845	252	629
gene-SAOUHSC_02641	NC_007795.1	2426796	2427851	-	1056	132	114	52	96	118	38	1802
gene-SAOUHSC_02643	NC_007795.1	2427987	2428661	+	675	38	28	13	44	17	7	55
gene-SAOUHSC_02644	NC_007795.1	2428654	2430027	+	1374	40	10	54	23	14	42	140
gene-SAOUHSC_02645	NC_007795.1	2430190	2430633	+	444	0	0	0	0	0	0	0
gene-SAOUHSC_02646	NC_007795.1	2430630	2431085	+	456	12	0	12	2	0	0	4
gene-SAOUHSC_02647	NC_007795.1	2431151	2432629	-	1479	2424	448	948	1792	1600	1227	3582
gene-SAOUHSC_02648	NC_007795.1	2433010	2434608	-	1599	593	491	1850	436	701	328	3689
gene-SAOUHSC_02649	NC_007795.1	2434925	2436598	+	1674	476	58	301	174	255	259	1553
gene-SAOUHSC_02650	NC_007795.1	2436751	2437380	-	630	212	14	20	38	44	42	214
gene-SAOUHSC_02651	NC_007795.1	2437694	2438209	-	516	1	16	114	2	6	0	2
gene-SAOUHSC_02652	NC_007795.1	2438502	2439404	+	903	161	71	353	163	195	64	378
gene-SAOUHSC_02653	NC_007795.1	2439450	2439785	-	336	6	29	0	36	48	0	65
gene-SAOUHSC_02654	NC_007795.1	2439887	2440921	-	1035	22	34	102	58	83	14	144
gene-SAOUHSC_02655	NC_007795.1	2440932	2441048	-	117	0	0	0	0	0	0	0
gene-SAOUHSC_02656	NC_007795.1	2441153	2441584	-	432	0	2	24	6	0	0	0
gene-SAOUHSC_02657	NC_007795.1	2441636	2441728	+	93	0	0	0	0	0	2	0
gene-SAOUHSC_02658	NC_007795.1	2441791	2443068	-	1278	0	0	0	0	4	0	20
gene-SAOUHSC_02659	NC_007795.1	2443229	2443852	+	624	6	22	54	8	28	28	107
gene-SAOUHSC_02660	NC_007795.1	2443898	2444842	+	945	12	4	12	31	1	6	51
gene-SAOUHSC_02661	NC_007795.1	2444928	2446178	-	1251	93	28	14	78	26	16	247
gene-SAOUHSC_02662	NC_007795.1	2446156	2446371	-	216	1	0	0	0	0	1	2
gene-SAOUHSC_02663	NC_007795.1	2446555	2446938	+	384	0	0	16	0	0	2	2
gene-SAOUHSC_02664	NC_007795.1	2448426	2450531	+	2106	139	183	246	38	82	182	145
gene-SAOUHSC_02665	NC_007795.1	2450602	2451024	+	423	93	22	90	44	87	80	142
gene-SAOUHSC_02666	NC_007795.1	2451289	2451645	+	357	0	0	0	0	0	0	0
gene-SAOUHSC_02667	NC_007795.1	2452049	2453326	-	1278	662	224	566	323	402	206	718
gene-SAOUHSC_02668	NC_007795.1	2453508	2453873	-	366	0	0	0	0	0	0	4
gene-SAOUHSC_02669	NC_007795.1	2454271	2454717	+	447	12	10	20	4	10	0	106
gene-SAOUHSC_02670	NC_007795.1	2454933	2455361	+	429	6	6	24	0	8	6	63
gene-SAOUHSC_02671	NC_007795.1	2455468	2456637	-	1170	24	0	46	8	10	4	114
gene-SAOUHSC_02674	NC_007795.1	2457900	2458640	+	741	0	2	0	3	0	4	6
gene-SAOUHSC_02675	NC_007795.1	2458898	2459500	-	603	76	0	14	16	30	40	74
gene-SAOUHSC_02676	NC_007795.1	2459574	2460608	-	1035	219	32	62	43	91	88	250
gene-SAOUHSC_02677	NC_007795.1	2460632	2461084	-	453	96	33	87	13	65	41	99
gene-SAOUHSC_02678	NC_007795.1	2461104	2461781	-	678	2	18	30	4	20	2	52
gene-SAOUHSC_02679	NC_007795.1	2461774	2462364	-	591	6	8	65	4	6	0	14
gene-SAOUHSC_02680	NC_007795.1	2462342	2463787	-	1446	95	12	139	50	26	38	157
gene-SAOUHSC_02681	NC_007795.1	2463891	2467580	-	3690	126	36	102	192	76	22	410
gene-SAOUHSC_02682	NC_007795.1	2467889	2468866	-	978	27	6	120	24	16	2	185
gene-SAOUHSC_02683	NC_007795.1	2468857	2469171	-	315	8	0	10	0	0	0	2
